Rank,Phase,Model,Train_Acc,Test_Acc,Precision,Recall,F1,AUC,Train_AUC,Time_s,Overfit_Gap
1,6-Tuned,XGBoost (Tuned),0.9469414292175486,0.934984170058797,0.9155672823218998,0.8969305331179321,0.906153092867635,0.9867527428384679,0.9913107841002449,135.18,0.0046
2,5-Stacking,Soft Voting (RF+XGB+LGBM),0.9722127996381728,0.9346449570330168,0.9176900099568537,0.8933764135702746,0.9053700065487885,0.9855372473290994,0.997423909943317,19.47,0.0119
3,6-Tuned,LightGBM (Tuned),0.947139303482587,0.9341926729986432,0.9153719008264463,0.8946688206785137,0.9049019607843137,0.9865718586726188,0.9913768105384694,159.85,0.0048
4,5-Stacking,Stacking (RF+XGB+LGBM→LR),0.9710538218000905,0.9329488919041158,0.9120553359683794,0.8946688206785137,0.9032784211384766,0.9849709059466969,0.9970563732489709,104.25,0.0121
5,3-Ensemble,Gradient Boosting,0.9702057892356399,0.9327227498869289,0.9114549045424621,0.8946688206785137,0.9029838578183597,0.9862223984447953,0.9970006993881684,96.25,0.0108
6,3-Ensemble,XGBoost,0.9858943916779738,0.9319312528267752,0.9088225647753362,0.8953150242326333,0.9020182291666666,0.9853452633892077,0.9992067800738281,3.45,0.0139
7,3-Ensemble,LightGBM,0.9790818634102216,0.9317051108095884,0.9079593842122502,0.8956381260096931,0.9017566688353936,0.9856603283678472,0.9984326531454057,1.56,0.0128
8,4-DeepLearning,MLP Neural Network,0.9420511080958842,0.932157394843962,0.9154179154179154,0.8882067851373182,0.9016070842899311,0.9862145864519248,0.9898693997508525,42.52,0.0037
9,3-Ensemble,Random Forest,0.9510685210312076,0.9248077792853913,0.9060828877005348,0.8759289176090469,0.890750780351569,0.9807174163322918,0.99220569109859,26.64,0.0115
10,2-Tree/Instance,SVM (RBF),0.9370759837177748,0.9231117141564903,0.8975963121501481,0.8807754442649435,0.8891063274624919,0.9795043655832819,0.9840656991878958,105.14,0.0046
11,2-Tree/Instance,Decision Tree (depth=8),0.9156772953414745,0.8967661691542289,0.8718473074301295,0.8264943457189015,0.8485652678719522,0.961565051279551,0.9731544074752276,0.73,0.0116
12,2-Tree/Instance,KNN (k=7),1.0,0.8913387607417458,0.8738612473721094,0.805815831987076,0.8384602454193982,0.9524877122691282,1.0,0.13,0.0475
13,1-Baseline,Logistic Regression,0.8777137042062415,0.8787878787878788,0.8429976263140048,0.8032310177705977,0.8226340172071476,0.953943468710299,0.9530268140571163,0.05,-0.0009
14,1-Baseline,Dummy (Stratified),0.5405359565807327,0.5478290366350068,0.3496340652029275,0.3395799676898223,0.3445336830027864,0.49976041348484856,0.49469198505879497,0.0,-0.0051
